,klub,pilkarz,pozycja,data_urodzenia,wzrost,dominujaca_noga,kontrakt_od,kontrakt_do,wartosc_eur,liga
1524,AJ Auxerre,Natanaël Bouekou,Defensywny pomocnik,10 maj 2002 (20),-, ,1 lip 2022,-,100 tys. €,ligue 1
1525,AJ Auxerre,Kays Ruiz-Atil,Środkowy pomocnik,26 sie 2002 (20),"1,77m",prawonożny,1 lip 2022,30 cze 2025,"1,20 mln €",ligue 1
1526,AJ Auxerre,Gaëtan Perrin,Prawy pomocnik,7 cze 1996 (26),"1,69m",prawonożny,1 lip 2021,30 cze 2024,"1,20 mln €",ligue 1
1527,AJ Auxerre,Hamza Sakhi,Ofensywny pomocnik,7 cze 1996 (26),"1,76m",prawonożny,16 kwi 2018,30 cze 2025,"2,00 mln €",ligue 1
1528,AJ Auxerre,Youssouf M'Changama,Ofensywny pomocnik,29 sie 1990 (32),"1,75m",prawonożny,1 lip 2022,30 cze 2024,"1,00 mln €",ligue 1
1529,AJ Auxerre,Mathias Autret,Ofensywny pomocnik,1 mar 1991 (31),"1,79m",prawonożny,1 lip 2020,30 cze 2023,"1,00 mln €",ligue 1
1530,AJ Auxerre,Kévin Danois,Ofensywny pomocnik,28 cze 2004 (18),-,prawonożny,1 lip 2022,30 cze 2024,100 tys. €,ligue 1
1531,AJ Auxerre,Rémy Dugimont,Lewy napastnik,1 lip 1986 (36),"1,82m",prawonożny,13 sie 2018,30 cze 2023,300 tys. €,ligue 1
1532,AJ Auxerre,Gauthier Hein,Prawy napastnik,7 sie 1996 (26),"1,70m",lewonożny,1 lip 2020,30 cze 2025,"2,50 mln €",ligue 1
1533,AJ Auxerre,Lassine Sinayoko,Prawy napastnik,8 gru 1999 (23),"1,86m",prawonożny,1 lip 2019,30 cze 2025,"1,20 mln €",ligue 1
1534,AJ Auxerre,M'Baye Niang,Środkowy napastnik,19 gru 1994 (28),"1,88m",prawonożny,16 sie 2022,30 cze 2024,"3,00 mln €",ligue 1
1535,AJ Auxerre,Matthis Abline,Środkowy napastnik,28 mar 2003 (19),"1,82m",prawonożny,2 sty 2023,30 cze 2023,"3,00 mln €",ligue 1
1536,AJ Auxerre,Nuno Da Costa,Środkowy napastnik,10 lut 1991 (31),"1,82m",prawonożny,5 sie 2022,30 cze 2024,"1,00 mln €",ligue 1
1537,AJ Auxerre,Idjessi Metsoko,Środkowy napastnik,14 mar 2002 (20),-, ,1 lip 2022,-,100 tys. €,ligue 1
1538,AJ Auxerre,Ousmane Camara,Środkowy napastnik,3 lis 2001 (21),-, ,1 lip 2022,30 cze 2025,100 tys. €,ligue 1
1539,Clermont Foot 63,Mory Diaw,Bramkarz,22 cze 1993 (29),"1,95m",prawonożny,1 lip 2022,30 cze 2024,"1,50 mln €",ligue 1
1540,Clermont Foot 63,Ouparine Djoco,Bramkarz,22 kwi 1998 (24),"1,88m",lewonożny,1 lip 2018,30 cze 2025,600 tys. €,ligue 1
1541,Clermont Foot 63,Lucas Margueron,Bramkarz,12 lut 2001 (21),"1,94m",prawonożny,2 lip 2020,30 cze 2023,150 tys. €,ligue 1
1542,Clermont Foot 63,Alidu Seidu,Środkowy obrońca,4 cze 2000 (22),"1,73m",prawonożny,1 sie 2020,30 cze 2027,"4,50 mln €",ligue 1
1543,Clermont Foot 63,Mateusz Wieteska,Środkowy obrońca,11 lut 1997 (25),"1,87m",prawonożny,25 lip 2022,30 cze 2026,"3,00 mln €",ligue 1
1544,Clermont Foot 63,Maximiliano Caufriez,Środkowy obrońca,16 lut 1997 (25),"1,89m",prawonożny,29 sie 2022,30 cze 2023,"1,20 mln €",ligue 1
1545,Clermont Foot 63,Florent Ogier,Środkowy obrońca,21 mar 1989 (33),"1,83m",prawonożny,13 lip 2018,30 cze 2024,500 tys. €,ligue 1
1546,Clermont Foot 63,Souleymane Cissé,Środkowy obrońca,8 sie 2002 (20),"1,90m", ,1 lip 2022,30 cze 2023,100 tys. €,ligue 1
1547,Clermont Foot 63,Neto Borges,Lewy obrońca,13 wrz 1996 (26),"1,85m",lewonożny,1 lip 2022,30 cze 2024,"1,20 mln €",ligue 1
1548,Clermont Foot 63,Arial Mendy,Lewy obrońca,7 lis 1994 (28),"1,80m",lewonożny,13 lip 2021,30 cze 2023,800 tys. €,ligue 1
1549,Clermont Foot 63,Baïla Diallo,Lewy obrońca,24 cze 2001 (21),"1,76m",lewonożny,22 sty 2021,30 cze 2024,250 tys. €,ligue 1
1550,Clermont Foot 63,Mehdi Zeffane,Prawy obrońca,19 maj 1992 (30),"1,76m",prawonożny,1 lip 2022,30 cze 2024,500 tys. €,ligue 1
1551,Clermont Foot 63,Oliver Kamdem,Prawy obrońca,15 paź 2002 (20),-,prawonożny,1 lip 2022,30 cze 2023,100 tys. €,ligue 1
1552,Clermont Foot 63,Yohann Magnin,Defensywny pomocnik,21 cze 1997 (25),"1,83m",prawonożny,25 sty 2019,30 cze 2025,"2,00 mln €",ligue 1
1553,Clermont Foot 63,Maxime Gonalons,Defensywny pomocnik,10 mar 1989 (33),"1,87m",prawonożny,1 lip 2022,30 cze 2024,"1,00 mln €",ligue 1
1554,Clermont Foot 63,Johan Gastien,Defensywny pomocnik,25 sty 1988 (34),"1,79m",prawonożny,1 lip 2018,30 cze 2025,800 tys. €,ligue 1
1555,Clermont Foot 63,Brandon Baiye,Defensywny pomocnik,27 gru 2000 (22),"1,77m",prawonożny,2 wrz 2019,30 cze 2023,500 tys. €,ligue 1
1556,Clermont Foot 63,Yanis Massolin,Środkowy pomocnik,20 wrz 2002 (20),-,prawonożny,1 lip 2022,30 cze 2025,100 tys. €,ligue 1
1557,Clermont Foot 63,Muhammed Cham,Ofensywny pomocnik,26 wrz 2000 (22),"1,80m",lewonożny,4 paź 2020,30 cze 2026,"4,00 mln €",ligue 1
1558,Clermont Foot 63,Saîf-Eddine Khaoui,Ofensywny pomocnik,27 kwi 1995 (27),"1,80m",lewonożny,14 sie 2021,30 cze 2023,"1,50 mln €",ligue 1
1559,Clermont Foot 63,Elbasan Rashani,Lewy napastnik,9 maj 1993 (29),"1,81m",lewonożny,16 lip 2021,30 cze 2025,"2,50 mln €",ligue 1
1560,Clermont Foot 63,Jim Allevinah,Lewy napastnik,27 lut 1995 (27),"1,72m",prawonożny,1 lip 2019,30 cze 2024,"2,00 mln €",ligue 1
1561,Clermont Foot 63,Jérémie Bela,Lewy napastnik,8 kwi 1993 (29),"1,73m",prawonożny,2 sie 2022,30 cze 2024,"1,80 mln €",ligue 1
1562,Clermont Foot 63,Jodel Dossou,Prawy napastnik,17 mar 1992 (30),"1,80m", ,15 sie 2020,30 cze 2024,"1,00 mln €",ligue 1
1563,Clermont Foot 63,Komnen Andric,Środkowy napastnik,1 lip 1995 (27),"1,89m",prawonożny,15 lip 2022,30 cze 2025,"2,00 mln €",ligue 1
1564,Clermont Foot 63,Grejohn Kyei,Środkowy napastnik,12 sie 1995 (27),"1,87m",prawonożny,31 sty 2022,30 cze 2024,"1,50 mln €",ligue 1
1565,AC Ajaccio,Benjamin Leroy,Bramkarz,7 kwi 1989 (33),"1,84m",prawonożny,1 lip 2018,30 cze 2023,600 tys. €,ligue 1
1566,AC Ajaccio,François-Joseph Sollacaro,Bramkarz,21 mar 1994 (28),"1,82m",prawonożny,1 lip 2018,30 cze 2024,300 tys. €,ligue 1
1567,AC Ajaccio,Ghjuvanni Quilichini,Bramkarz,1 wrz 2002 (20),"1,82m", ,1 lip 2021,30 cze 2023,200 tys. €,ligue 1
1568,AC Ajaccio,Oumar Gonzalez,Środkowy obrońca,25 lut 1998 (24),"1,86m",prawonożny,1 lip 2021,30 cze 2023,"2,50 mln €",ligue 1
1569,AC Ajaccio,Clément Vidal,Środkowy obrońca,18 cze 2000 (22),"1,81m",prawonożny,1 lip 2022,30 cze 2025,"1,50 mln €",ligue 1
1570,AC Ajaccio,Fernand Mayembo,Środkowy obrońca,9 sty 1996 (27),"1,84m",prawonożny,26 lip 2022,30 cze 2024,700 tys. €,ligue 1
1571,AC Ajaccio,Cédric Avinel,Środkowy obrońca,11 wrz 1986 (36),"1,87m",prawonożny,1 lip 2017,30 cze 2023,300 tys. €,ligue 1
1572,AC Ajaccio,Youssouf Koné ,Lewy obrońca,5 lip 1995 (27),"1,74m",lewonożny,30 sie 2022,30 cze 2023,"1,80 mln €",ligue 1
1573,AC Ajaccio,Ismaël Diallo,Lewy obrońca,29 sty 1997 (25),"1,78m",lewonożny,1 lip 2018,30 cze 2023,"1,50 mln €",ligue 1
1574,AC Ajaccio,Chaker Alhadhur,Lewy obrońca,4 gru 1991 (31),"1,72m",prawonożny,12 paź 2021,30 cze 2023,200 tys. €,ligue 1
1575,AC Ajaccio,Mickaël Alphonse,Prawy obrońca,12 lip 1989 (33),"1,82m",prawonożny,1 lip 2022,30 cze 2024,300 tys. €,ligue 1
1576,AC Ajaccio,Mohamed Youssouf,Prawy obrońca,26 mar 1988 (34),"1,69m",prawonożny,1 lip 2018,30 cze 2023,200 tys. €,ligue 1
1577,AC Ajaccio,Vincent Marchetti ,Defensywny pomocnik,4 lip 1997 (25),"1,81m",lewonożny,5 paź 2020,30 cze 2024,"3,00 mln €",ligue 1
1578,AC Ajaccio,Thomas Mangani,Środkowy pomocnik,29 kwi 1987 (35),"1,83m",lewonożny,1 lip 2022,30 cze 2024,600 tys. €,ligue 1
1579,AC Ajaccio,Mathieu Coutadeur ,Środkowy pomocnik,20 mar 1986 (36),"1,69m",prawonożny,1 lip 2017,30 cze 2023,250 tys. €,ligue 1
1580,AC Ajaccio,Alassane N'Diaye,Prawy pomocnik,14 cze 1991 (31),"1,80m",prawonożny,1 lip 2020,30 cze 2023,200 tys. €,ligue 1
1581,AC Ajaccio,Yanis Cimignani,Lewy pomocnik,22 sty 2002 (20),"1,76m",lewonożny,1 lip 2020,30 cze 2023,"1,80 mln €",ligue 1
1582,AC Ajaccio,Michaël Barreto ,Ofensywny pomocnik,18 sty 1991 (32),"1,75m",prawonożny,1 lip 2020,30 cze 2023,500 tys. €,ligue 1
1583,AC Ajaccio,Florian Chabrolle,Ofensywny pomocnik,7 kwi 1998 (24),"1,71m",prawonożny,5 sty 2021,30 cze 2023,250 tys. €,ligue 1
1584,AC Ajaccio,Youcef Belaïli,Lewy napastnik,14 mar 1992 (30),"1,82m",prawonożny,12 paź 2022,30 cze 2023,"1,80 mln €",ligue 1
1585,AC Ajaccio,Kevin Spadanuda ,Lewy napastnik,16 sty 1997 (26),"1,77m",prawonożny,1 lip 2022,30 cze 2025,800 tys. €,ligue 1
1586,AC Ajaccio,Jean Botué,Lewy napastnik,7 sie 2002 (20),"1,84m",lewonożny,16 lut 2021,30 cze 2023,500 tys. €,ligue 1
1587,AC Ajaccio,Cyrille Bayala,Prawy napastnik,24 maj 1996 (26),"1,81m",prawonożny,15 sty 2021,30 cze 2024,"1,00 mln €",ligue 1
1588,AC Ajaccio,Riad Nouri,Prawy napastnik,7 cze 1985 (37),"1,78m",prawonożny,7 wrz 2020,30 cze 2024,250 tys. €,ligue 1
1589,AC Ajaccio,Ruan Levine,Prawy napastnik,19 sty 1999 (23),"1,77m",prawonożny,20 wrz 2022,30 cze 2023,-,ligue 1
1590,AC Ajaccio,Mounaïm El Idrissy,Środkowy napastnik,10 lut 1999 (23),"1,81m",prawonożny,1 lip 2019,30 cze 2023,"1,80 mln €",ligue 1
1591,AC Ajaccio,Bevic Moussiti-Oko,Środkowy napastnik,28 sty 1995 (27),"1,84m",prawonożny,10 lip 2020,30 cze 2023,700 tys. €,ligue 1
1592,AC Ajaccio,Romain Hamouma ,Środkowy napastnik,29 mar 1987 (35),"1,79m",prawonożny,1 lip 2022,30 cze 2023,600 tys. €,ligue 1
1593,AC Ajaccio,Yoann Touzghar ,Środkowy napastnik,28 lis 1986 (36),"1,80m",prawonożny,24 sie 2022,30 cze 2024,500 tys. €,ligue 1
1594,Real Madryt,Thibaut Courtois,Bramkarz,11 maj 1992 (30),"2,00m",lewonożny,9 sie 2018,30 cze 2026,"60,00 mln €",laliga
1595,Real Madryt,Andriy Lunin,Bramkarz,11 lut 1999 (23),"1,91m",prawonożny,1 lip 2018,30 cze 2024,"4,00 mln €",laliga
1596,Real Madryt,Éder Militão,Środkowy obrońca,18 sty 1998 (25),"1,86m",prawonożny,1 lip 2019,30 cze 2025,"60,00 mln €",laliga
1597,Real Madryt,David Alaba ,Środkowy obrońca,24 cze 1992 (30),"1,80m",lewonożny,1 lip 2021,30 cze 2026,"55,00 mln €",laliga
1598,Real Madryt,Antonio Rüdiger,Środkowy obrońca,3 mar 1993 (29),"1,90m",prawonożny,1 lip 2022,30 cze 2026,"40,00 mln €",laliga
1599,Real Madryt,Nacho Fernández,Środkowy obrońca,18 sty 1990 (33),"1,80m",prawonożny,1 lip 2013,30 cze 2023,"5,00 mln €",laliga
1600,Real Madryt,Jesús Vallejo,Środkowy obrońca,5 sty 1997 (26),"1,84m",prawonożny,31 lip 2015,30 cze 2025,"2,50 mln €",laliga
1601,Real Madryt,Ferland Mendy,Lewy obrońca,8 cze 1995 (27),"1,80m",lewonożny,1 lip 2019,30 cze 2025,"40,00 mln €",laliga
1602,Real Madryt,Daniel Carvajal,Prawy obrońca,11 sty 1992 (31),"1,73m",prawonożny,1 lip 2013,30 cze 2025,"18,00 mln €",laliga
1603,Real Madryt,Álvaro Odriozola,Prawy obrońca,14 gru 1995 (27),"1,76m",prawonożny,5 lip 2018,30 cze 2024,"6,00 mln €",laliga
1604,Real Madryt,Aurélien Tchouameni ,Defensywny pomocnik,27 sty 2000 (22),"1,87m",prawonożny,1 lip 2022,30 cze 2028,"90,00 mln €",laliga
1605,Real Madryt,Federico Valverde,Środkowy pomocnik,22 lip 1998 (24),"1,82m",prawonożny,1 lip 2018,30 cze 2027,"100,00 mln €",laliga
1606,Real Madryt,Eduardo Camavinga,Środkowy pomocnik,10 lis 2002 (20),"1,82m",lewonożny,31 sie 2021,30 cze 2027,"50,00 mln €",laliga
1607,Real Madryt,Toni Kroos,Środkowy pomocnik,4 sty 1990 (33),"1,83m",prawonożny,17 lip 2014,30 cze 2023,"20,00 mln €",laliga
1608,Real Madryt,Luka Modric,Środkowy pomocnik,9 wrz 1985 (37),"1,72m",prawonożny,27 sie 2012,30 cze 2023,"10,00 mln €",laliga
1609,Real Madryt,Dani Ceballos,Środkowy pomocnik,7 sie 1996 (26),"1,79m",prawonożny,14 lip 2017,30 cze 2023,"9,00 mln €",laliga
1610,Real Madryt,Vinicius Junior,Lewy napastnik,12 lip 2000 (22),"1,76m",prawonożny,12 lip 2018,30 cze 2024,"120,00 mln €",laliga
1611,Real Madryt,Eden Hazard,Lewy napastnik,7 sty 1991 (32),"1,75m",prawonożny,1 lip 2019,30 cze 2024,"7,50 mln €",laliga
1612,Real Madryt,Rodrygo,Prawy napastnik,9 sty 2001 (22),"1,74m",prawonożny,1 lip 2019,30 cze 2025,"80,00 mln €",laliga
1613,Real Madryt,Marco Asensio,Prawy napastnik,21 sty 1996 (26),"1,82m",lewonożny,1 lip 2015,30 cze 2023,"25,00 mln €",laliga
1614,Real Madryt,Lucas Vázquez,Prawy napastnik,1 lip 1991 (31),"1,73m",prawonożny,2 lip 2015,30 cze 2024,"9,00 mln €",laliga
1615,Real Madryt,Karim Benzema,Środkowy napastnik,19 gru 1987 (35),"1,85m",prawonożny,9 lip 2009,30 cze 2023,"35,00 mln €",laliga
1616,Real Madryt,Mariano Díaz,Środkowy napastnik,1 sie 1993 (29),"1,80m",prawonożny,29 sie 2018,30 cze 2023,"3,00 mln €",laliga
1617,FC Barcelona,Marc-André ter Stegen,Bramkarz,30 kwi 1992 (30),"1,87m",prawonożny,1 lip 2014,30 cze 2025,"30,00 mln €",laliga
1618,FC Barcelona,Iñaki Peña,Bramkarz,2 mar 1999 (23),"1,84m",prawonożny,30 sty 2022,30 cze 2023,"4,00 mln €",laliga
1619,FC Barcelona,Arnau Tenas,Bramkarz,30 maj 2001 (21),"1,85m",prawonożny,-,30 cze 2023,"2,00 mln €",laliga
1620,FC Barcelona,Ronald Araújo,Środkowy obrońca,7 mar 1999 (23),"1,88m",prawonożny,5 paź 2020,30 cze 2026,"60,00 mln €",laliga
1621,FC Barcelona,Jules Koundé,Środkowy obrońca,12 lis 1998 (24),"1,80m",prawonożny,28 lip 2022,30 cze 2027,"60,00 mln €",laliga
1622,FC Barcelona,Andreas Christensen,Środkowy obrońca,10 kwi 1996 (26),"1,87m",prawonożny,4 lip 2022,30 cze 2026,"30,00 mln €",laliga
1623,FC Barcelona,Eric García,Środkowy obrońca,9 sty 2001 (22),"1,82m",prawonożny,1 lip 2021,30 cze 2026,"18,00 mln €",laliga
1624,FC Barcelona,Alejandro Balde,Lewy obrońca,18 paź 2003 (19),"1,75m",lewonożny,1 lip 2022,30 cze 2024,"15,00 mln €",laliga
1625,FC Barcelona,Marcos Alonso,Lewy obrońca,28 gru 1990 (32),"1,89m",lewonożny,1 wrz 2022,30 cze 2023,"9,00 mln €",laliga
1626,FC Barcelona,Jordi Alba,Lewy obrońca,21 mar 1989 (33),"1,70m",lewonożny,1 lip 2012,30 cze 2024,"5,00 mln €",laliga
1627,FC Barcelona,Héctor Bellerín,Prawy obrońca,19 mar 1995 (27),"1,77m",prawonożny,1 wrz 2022,30 cze 2023,"15,00 mln €",laliga
1628,FC Barcelona,Sergi Roberto,Prawy obrońca,7 lut 1992 (30),"1,78m",prawonożny,1 lip 2013,30 cze 2023,"6,00 mln €",laliga
1629,FC Barcelona,Sergio Busquets,Defensywny pomocnik,16 lip 1988 (34),"1,89m",prawonożny,1 lip 2008,30 cze 2023,"5,00 mln €",laliga
1630,FC Barcelona,Pedri,Środkowy pomocnik,25 lis 2002 (20),"1,74m",prawonożny,2 wrz 2019,30 cze 2026,"100,00 mln €",laliga
1631,FC Barcelona,Gavi,Środkowy pomocnik,5 sie 2004 (18),"1,73m",prawonożny,1 lip 2021,30 cze 2026,"90,00 mln €",laliga
1632,FC Barcelona,Frenkie de Jong,Środkowy pomocnik,12 maj 1997 (25),"1,81m",prawonożny,1 lip 2019,30 cze 2026,"50,00 mln €",laliga
1633,FC Barcelona,Franck Kessié,Środkowy pomocnik,19 gru 1996 (26),"1,83m",prawonożny,4 lip 2022,30 cze 2026,"35,00 mln €",laliga
1634,FC Barcelona,Pablo Torre,Środkowy pomocnik,3 kwi 2003 (19),"1,73m",prawonożny,-,30 cze 2026,"3,00 mln €",laliga
1635,FC Barcelona,Ansu Fati,Lewy napastnik,31 paź 2002 (20),"1,78m",prawonożny,23 wrz 2020,30 cze 2027,"50,00 mln €",laliga
1636,FC Barcelona,Ferran Torres ,Lewy napastnik,29 lut 2000 (22),"1,84m",prawonożny,1 sty 2022,30 cze 2027,"35,00 mln €",laliga
1637,FC Barcelona,Ousmane Dembélé,Prawy napastnik,15 maj 1997 (25),"1,78m",obunożny,25 sie 2017,30 cze 2024,"60,00 mln €",laliga
1638,FC Barcelona,Raphinha,Prawy napastnik,14 gru 1996 (26),"1,76m",lewonożny,13 lip 2022,30 cze 2027,"50,00 mln €",laliga
1639,FC Barcelona,Robert Lewandowski ,Środkowy napastnik,21 sie 1988 (34),"1,85m",prawonożny,19 lip 2022,30 cze 2026,"45,00 mln €",laliga
1640,FC Barcelona,Memphis Depay,Środkowy napastnik,13 lut 1994 (28),"1,78m",prawonożny,1 lip 2021,30 cze 2023,"20,00 mln €",laliga
1641,Atlético Madryt,Jan Oblak,Bramkarz,7 sty 1993 (30),"1,88m",prawonożny,16 lip 2014,30 cze 2028,"40,00 mln €",laliga
1642,Atlético Madryt,Ivo Grbic,Bramkarz,18 sty 1996 (27),"1,95m",prawonożny,20 sie 2020,30 cze 2024,"3,50 mln €",laliga
1643,Atlético Madryt,José María Giménez,Środkowy obrońca,20 sty 1995 (27),"1,85m",prawonożny,25 kwi 2013,30 cze 2025,"40,00 mln €",laliga
1644,Atlético Madryt,Mario Hermoso,Środkowy obrońca,18 cze 1995 (27),"1,84m",lewonożny,18 lip 2019,30 cze 2024,"14,00 mln €",laliga
1645,Atlético Madryt,Stefan Savic ,Środkowy obrońca,8 sty 1991 (32),"1,87m",prawonożny,20 lip 2015,30 cze 2024,"9,00 mln €",laliga
1646,Atlético Madryt,Felipe,Środkowy obrońca,16 maj 1989 (33),"1,90m",prawonożny,1 lip 2019,30 cze 2023,"3,00 mln €",laliga
1647,Atlético Madryt,Reinildo Mandava,Lewy obrońca,21 sty 1994 (28),"1,80m",lewonożny,31 sty 2022,30 cze 2025,"25,00 mln €",laliga
1648,Atlético Madryt,Sergio Reguilón,Lewy obrońca,16 gru 1996 (26),"1,78m",lewonożny,30 sie 2022,30 cze 2023,"20,00 mln €",laliga
1649,Atlético Madryt,Nahuel Molina,Prawy obrońca,6 kwi 1998 (24),"1,75m",prawonożny,28 lip 2022,30 cze 2027,"22,00 mln €",laliga
1650,Atlético Madryt,Geoffrey Kondogbia,Defensywny pomocnik,15 lut 1993 (29),"1,88m",lewonożny,3 lis 2020,30 cze 2024,"20,00 mln €",laliga
1651,Atlético Madryt,Axel Witsel,Defensywny pomocnik,12 sty 1989 (34),"1,86m",prawonożny,6 lip 2022,30 cze 2023,"5,00 mln €",laliga
1652,Atlético Madryt,Rodrigo de Paul,Środkowy pomocnik,24 maj 1994 (28),"1,80m",prawonożny,12 lip 2021,30 cze 2026,"40,00 mln €",laliga
1653,Atlético Madryt,Marcos Llorente,Środkowy pomocnik,30 sty 1995 (27),"1,84m",prawonożny,1 lip 2019,30 cze 2027,"35,00 mln €",laliga
1654,Atlético Madryt,Koke,Środkowy pomocnik,8 sty 1992 (31),"1,76m",prawonożny,1 sty 2011,30 cze 2024,"18,00 mln €",laliga
1655,Atlético Madryt,Saúl Ñíguez,Środkowy pomocnik,21 lis 1994 (28),"1,84m",lewonożny,1 lip 2013,30 cze 2026,"15,00 mln €",laliga
1656,Atlético Madryt,Pablo Barrios,Środkowy pomocnik,15 cze 2003 (19),"1,81m",prawonożny,-,30 cze 2025,500 tys. €,laliga
1657,Atlético Madryt,Thomas Lemar,Ofensywny pomocnik,12 lis 1995 (27),"1,71m",lewonożny,1 lip 2018,30 cze 2023,"30,00 mln €",laliga
1658,Atlético Madryt,Yannick Carrasco,Lewy napastnik,4 wrz 1993 (29),"1,81m",prawonożny,8 wrz 2020,30 cze 2024,"30,00 mln €",laliga
1659,Atlético Madryt,Ángel Correa,Prawy napastnik,9 mar 1995 (27),"1,71m",prawonożny,1 sty 2015,30 cze 2026,"40,00 mln €",laliga
1660,Atlético Madryt,Antoine Griezmann,Cofnięty napastnik,21 mar 1991 (31),"1,76m",lewonożny,31 sie 2021,30 cze 2023,"25,00 mln €",laliga
1661,Atlético Madryt,Álvaro Morata,Środkowy napastnik,23 paź 1992 (30),"1,89m",prawonożny,1 lip 2020,30 cze 2024,"25,00 mln €",laliga
1662,Real Sociedad,Álex Remiro,Bramkarz,24 mar 1995 (27),"1,91m",prawonożny,1 lip 2019,30 cze 2027,"25,00 mln €",laliga
1663,Real Sociedad,Andoni Zubiaurre,Bramkarz,4 gru 1996 (26),"1,89m",lewonożny,1 lip 2022,30 cze 2024,300 tys. €,laliga
1664,Real Sociedad,Robin Le Normand,Środkowy obrońca,11 lis 1996 (26),"1,87m",prawonożny,1 lip 2019,30 cze 2026,"35,00 mln €",laliga
1665,Real Sociedad,Igor Zubeldia,Środkowy obrońca,30 mar 1997 (25),"1,81m",prawonożny,1 lip 2017,30 cze 2024,"15,00 mln €",laliga
1666,Real Sociedad,Aritz Elustondo,Środkowy obrońca,28 mar 1994 (28),"1,82m",prawonożny,4 sty 2016,30 cze 2024,"14,00 mln €",laliga
1667,Real Sociedad,Jon Pacheco,Środkowy obrońca,8 sty 2001 (22),"1,84m",lewonożny,1 lip 2022,30 cze 2027,"6,00 mln €",laliga
1668,Real Sociedad,Aihen Muñoz,Lewy obrońca,16 sie 1997 (25),"1,75m",lewonożny,1 lip 2019,30 cze 2024,"6,00 mln €",laliga
1669,Real Sociedad,Diego Rico,Lewy obrońca,23 lut 1993 (29),"1,83m",lewonożny,26 lip 2021,30 cze 2023,"3,00 mln €",laliga
1670,Real Sociedad,Andoni Gorosabel,Prawy obrońca,4 sie 1996 (26),"1,74m",prawonożny,1 lip 2018,30 cze 2024,"10,00 mln €",laliga
1671,Real Sociedad,Álex Sola ,Prawy obrońca,9 cze 1999 (23),"1,78m",prawonożny,1 lip 2022,30 cze 2026,"3,00 mln €",laliga
1672,Real Sociedad,Martín Zubimendi,Defensywny pomocnik,2 lut 1999 (23),"1,81m",prawonożny,10 wrz 2020,30 cze 2027,"40,00 mln €",laliga
1673,Real Sociedad,Asier Illarramendi,Defensywny pomocnik,8 mar 1990 (32),"1,79m",prawonożny,26 sie 2015,30 cze 2023,"2,00 mln €",laliga
1674,Real Sociedad,Mikel Merino,Środkowy pomocnik,22 cze 1996 (26),"1,89m",lewonożny,12 lip 2018,30 cze 2025,"50,00 mln €",laliga
1675,Real Sociedad,Ander Guevara ,Środkowy pomocnik,7 lip 1997 (25),"1,80m",prawonożny,1 lip 2019,30 cze 2024,"5,00 mln €",laliga
1676,Real Sociedad,Beñat Turrientes ,Środkowy pomocnik,31 sty 2002 (20),"1,81m",prawonożny,1 lip 2022,30 cze 2027,"2,00 mln €",laliga
1677,Real Sociedad,Brais Méndez,Ofensywny pomocnik,7 sty 1997 (26),"1,84m",lewonożny,6 lip 2022,30 cze 2028,"30,00 mln €",laliga
1678,Real Sociedad,Robert Navarro,Ofensywny pomocnik,12 kwi 2002 (20),"1,78m",prawonożny,7 sie 2022,30 cze 2027,"4,00 mln €",laliga
1679,Real Sociedad,David Silva,Ofensywny pomocnik,8 sty 1986 (37),"1,70m",lewonożny,17 sie 2020,30 cze 2023,"4,00 mln €",laliga
1680,Real Sociedad,Mikel Oyarzabal,Lewy napastnik,21 kwi 1997 (25),"1,81m",lewonożny,1 sty 2016,30 cze 2024,"60,00 mln €",laliga
1681,Real Sociedad,Ander Barrenetxea,Lewy napastnik,27 gru 2001 (21),"1,75m",prawonożny,1 lip 2019,30 cze 2027,"6,00 mln €",laliga
1682,Real Sociedad,Martín Merquelanz ,Lewy napastnik,12 cze 1995 (27),"1,76m",lewonożny,14 sie 2018,30 cze 2025,"1,20 mln €",laliga
1683,Real Sociedad,Takefusa Kubo,Prawy napastnik,4 cze 2001 (21),"1,73m",lewonożny,19 lip 2022,30 cze 2027,"12,00 mln €",laliga
1684,Real Sociedad,Umar Sadiq ,Środkowy napastnik,2 lut 1997 (25),"1,91m",prawonożny,1 wrz 2022,30 cze 2028,"18,00 mln €",laliga
1685,Real Sociedad,Momo Cho,Środkowy napastnik,19 sty 2004 (18),"1,82m",lewonożny,1 lip 2022,30 cze 2027,"15,00 mln €",laliga
1686,Real Sociedad,Alexander Sörloth,Środkowy napastnik,5 gru 1995 (27),"1,95m",lewonożny,29 sie 2022,30 cze 2023,"10,00 mln €",laliga
1687,Real Sociedad,Carlos Fernández,Środkowy napastnik,22 maj 1996 (26),"1,85m",lewonożny,24 sty 2021,30 cze 2026,"4,00 mln €",laliga
1688,Villarreal CF,Filip Jörgensen,Bramkarz,16 kwi 2002 (20),"1,90m",prawonożny,5 sty 2023,30 cze 2025,"1,50 mln €",laliga
1689,Villarreal CF,Pepe Reina,Bramkarz,31 sie 1982 (40),"1,88m",prawonożny,8 lip 2022,30 cze 2023,700 tys. €,laliga
1690,Villarreal CF,Pau Torres,Środkowy obrońca,16 sty 1997 (26),"1,91m",lewonożny,1 lip 2018,30 cze 2024,"50,00 mln €",laliga
1691,Villarreal CF,Jorge Cuenca,Środkowy obrońca,17 lis 1999 (23),"1,90m",lewonożny,21 wrz 2020,30 cze 2025,"6,00 mln €",laliga
