,NAME,POSITIONS,OVA,POT,TEAM,CONTRACT_LENGTH,ATTACKING,SKILL,MOVEMENT,POWER,MENTALITY,DEFENDING,TOTAL,PAC,SHO,PAS,DRI,DEF,PHY,FULL_NAME,AGE,VALUE_EUR,SALARY_EUR
1508,Lyanco,CB ,73,79,Southampton,2021 ~ 2025,241,238,294,283,278,221,1602,64,36,52,58,73,74,Lyanco Neves Vojnovic,25,4200000.0,34000.0
1509,J. Castelletto,CB ,74,75,Nantes,2020 ~ 2026,238,253,313,309,278,220,1674,68,30,51,61,74,75,Jean-Charles Castelletto,27,4200000.0,20000.0
1510,E. Guessand,ST LW ,71,80,Nantes,"Jun 30, 2023",320,291,342,339,259,63,1649,76,70,55,68,26,68,Evann Guessand,21,4200000.0,20000.0
1511,R. Barkley,CAM CM ,74,74,Nice,2022 ~ 2023,338,372,335,358,331,164,1949,68,72,73,75,56,70,Ross Barkley,28,4200000.0,35000.0
1512,N. Ngoumou,RM ,71,81,Borussia Mönchengladbach,2022 ~ 2027,311,310,370,315,263,106,1727,86,65,64,69,33,60,Nathan Ngoumou,22,4200000.0,15000.0
1513,H. Ito,CB CDM ,73,78,VfB Stuttgart,2022 ~ 2025,293,302,369,341,301,225,1884,84,54,66,67,75,72,Hiroki Ito,23,4200000.0,16000.0
1514,K. Stöger,CM CAM CDM ,74,74,VfL Bochum 1848,2022 ~ 2024,331,369,345,337,300,130,1874,56,68,79,75,46,63,Kevin Stöger,28,4200000.0,22000.0
1515,P. Hofmann,ST ,74,74,VfL Bochum 1848,2022 ~ 2024,323,261,256,352,304,94,1655,51,74,53,63,35,80,Philipp Hofmann,29,4200000.0,24000.0
1516,J. Haberer,CM CDM RM ,74,74,FC Union Berlin,2022 ~ 2022,311,348,325,343,352,183,1930,63,65,71,73,63,70,Janik Haberer,28,4200000.0,27000.0
1517,G. Gaetano,CAM CM ,71,81,Napoli,2016 ~ 2023,326,320,337,322,315,148,1827,63,71,69,71,49,58,Gianluca Gaetano,22,4200000.0,25000.0
1518,Luiz Henrique,RM LM ,71,82,Real Betis,2022 ~ 2028,336,307,374,329,271,111,1778,82,66,61,77,42,61,L. Henrique Rosa da Silva,21,4200000.0,11000.0
1519,Melero,CM CDM ,74,74,Almería,2022 ~ 2026,366,354,299,368,370,206,2020,53,75,73,70,70,75,Gonzalo Melero Manzanares,28,4200000.0,23000.0
1520,A. Lozano,ST LM ,74,74,Cádiz,2020 ~ 2023,343,313,365,372,305,108,1850,82,74,66,71,36,74,Anthony Lozano,29,4200000.0,28000.0
1521,Antonio Blanco,CM CDM ,71,82,Cádiz,"Jun 30, 2023",263,329,293,298,329,176,1740,54,57,67,66,62,58,Antonio Blanco Conde,21,4200000.0,51000.0
1522,Valery,RM LWB LM ,71,79,Girona,2018 ~ 2023,298,314,395,316,308,192,1874,86,62,64,72,63,66,Valery Fernández Estrada,22,4200000.0,14000.0
1523,C. Summerville,RM LM ,71,82,Leeds United,2020 ~ 2026,291,315,414,283,241,90,1688,89,66,61,75,29,51,Crysencio Summerville,20,4099999.9999999995,18000.0
1524,W. Gnonto,ST LM RM ,70,86,Leeds United,2022 ~ 2027,307,315,408,329,269,77,1758,87,67,62,77,31,63,Wilfried Gnonto,18,4099999.9999999995,9000.0
1525,E. Krafth,RB CB ,74,74,Newcastle United,2019 ~ 2024,309,341,332,341,309,226,1915,65,58,68,70,75,71,Emil Krafth,27,4099999.9999999995,57000.0
1526,A. Armstrong,ST LM ,73,76,Southampton,2021 ~ 2025,337,327,415,365,332,84,1915,81,75,65,74,35,67,Adam Armstrong,25,4099999.9999999995,41000.0
1527,B. Decordova-Reid,RM LM RB ,74,74,Fulham,2020 ~ 2023,351,342,403,357,323,172,1999,77,71,70,76,59,64,Bobby Decordova-Reid,29,4099999.9999999995,47000.0
1528,A. Claude-Maurice,CM LM LW ,73,76,Lens,"Jun 30, 2023",330,375,398,356,344,206,2077,80,71,72,79,69,69,Alexis Claude-Maurice,24,4099999.9999999995,27000.0
1529,R. Pierre-Gabriel,RB RWB ,73,77,Strasbourg,"Jun 30, 2023",283,292,353,343,303,218,1839,73,48,61,69,71,71,Ronaël Pierre-Gabriel,24,4099999.9999999995,17000.0
1530,H. Belkebla,CDM CM ,74,75,Brest,2018 ~ 2023,282,336,311,308,333,215,1852,55,49,71,70,69,73,Haris Belkebla,28,4099999.9999999995,20000.0
1531,J. Duverne,RB LB ,73,77,Brest,2019 ~ 2023,271,286,325,319,283,222,1754,63,38,62,70,75,74,Jean-Kévin Duverne,24,4099999.9999999995,15000.0
1532,F. Balogun,ST ,71,80,Reims,"Jun 30, 2023",311,276,359,326,258,49,1636,77,73,53,70,21,62,Folarin Balogun,20,4099999.9999999995,35000.0
1533,D. Lopy,CM CDM ,71,79,Reims,2020 ~ 2023,311,321,333,352,324,204,1905,67,59,68,71,68,73,Dion Lopy,20,4099999.9999999995,11000.0
1534,B. Schmitz,RB ,74,74,FC Köln,2018 ~ 2024,288,336,329,350,317,224,1906,61,50,71,69,75,73,Benno Schmitz,27,4099999.9999999995,22000.0
1535,C. Lenz,LWB LM ,74,74,Eintracht Frankfurt,2021 ~ 2024,269,339,354,309,287,219,1831,72,42,67,69,72,69,Christopher Lenz,27,4099999.9999999995,22000.0
1536,Kaio Jorge,ST ,71,82,Juventus,2021 ~ 2026,338,328,358,344,259,54,1725,76,70,59,76,25,63,Kaio Jorge Pinto Ramos,20,4099999.9999999995,41000.0
1537,K. Amian,RWB RM RB ,73,77,Spezia,2021 ~ 2026,287,301,372,347,305,216,1882,78,48,62,67,71,78,Kelvin Amian,24,4099999.9999999995,12000.0
1538,Guruzeta,ST ,73,76,Athletic Club,2022 ~ 2024,350,309,351,352,279,63,1756,70,73,65,72,27,67,Gorka Guruzeta Rodríguez,25,4099999.9999999995,21000.0
1539,A. Solari,RM LM ,74,74,Celta de Vigo,2021 ~ 2023,307,365,398,358,331,169,1981,85,62,72,75,58,73,Augusto Solari,30,4099999.9999999995,20000.0
1540,Marcos André,ST LW LM ,73,76,Valencia,2021 ~ 2026,337,310,346,375,293,100,1812,73,75,60,71,38,71,Marcos André de Sousa Mendonça,25,4099999.9999999995,27000.0
1541,Manu Vallejo,ST LM CAM ,73,76,Girona,2022 ~ 2025,347,349,390,352,288,133,1909,75,74,68,75,43,61,Manuel Vallejo Galván,25,4099999.9999999995,21000.0
1542,Wilson Manafá,RB LB ,74,74,Porto,2019 ~ 2023,316,311,401,318,329,210,1925,84,58,67,72,69,67,Wilson Miguéis Manafá Jancó,27,4099999.9999999995,11000.0
1543,S. McKenna,CB ,73,78,Nottingham Forest,2020 ~ 2024,221,219,282,326,238,213,1543,56,32,46,51,72,81,Scott McKenna,25,4000000.0,38000.0
1544,G. Bazunu,GK ,71,85,Southampton,2022 ~ 2027,79,109,253,205,108,39,1148,72,68,73,74,47,68,Gavin Bazunu,20,4000000.0,15000.0
1545,P. Sarr,CM ,71,81,Tottenham Hotspur,2021 ~ 2026,310,322,337,326,315,203,1865,67,63,68,72,66,66,Pape Matar Sarr,19,4000000.0,25000.0
1546,F. Onyeka,CDM CM ,73,77,Brentford,2021 ~ 2026,301,304,386,341,335,209,1927,81,57,64,70,71,77,Frank Onyeka,24,4000000.0,28000.0
1547,B. Diakité,RB LB CB ,71,80,Lille,2022 ~ 2026,265,265,329,308,279,215,1704,72,38,59,60,71,72,Bafodé Diakité,21,4000000.0,13000.0
1548,L. Chevalier,GK ,71,83,Lille,2018 ~ 2024,67,82,211,187,99,31,1029,74,68,65,73,41,72,Lucas Chevalier,20,4000000.0,9000.0
1549,I. Ganago,ST ,73,75,Nantes,2022 ~ 2026,328,314,383,357,280,70,1780,81,73,59,73,34,67,Ignatius Ganago,23,4000000.0,20000.0
1550,K. Schmeichel,GK ,83,83,Nice,2022 ~ 2023,101,129,280,230,153,41,1339,81,78,79,86,45,81,Kasper Schmeichel,35,4000000.0,31000.0
1551,R. Ilie,LW CAM LM ,71,80,Nice,2022 ~ 2026,322,348,377,328,291,117,1840,80,67,68,73,41,62,Rareș Ilie,19,4000000.0,16000.0
1552,J. Laporte,CB ,74,75,Lorient,2019 ~ 2025,224,211,250,319,242,224,1534,44,29,45,50,75,81,Julien Laporte,28,4000000.0,17000.0
1553,R. Kouamé,CM CDM ,73,76,Troyes,2021 ~ 2024,288,315,359,356,333,208,1901,69,54,69,74,70,77,Rominigue Kouamé,25,4000000.0,15000.0
1554,M. Bizot,GK ,76,76,Brest,2021 ~ 2024,92,112,257,229,152,37,1251,79,73,69,76,46,75,Marco Bizot,31,4000000.0,17000.0
1555,R. Nicolaisen,CB ,73,78,Toulouse,2021 ~ 2025,263,259,286,318,272,216,1674,53,41,56,60,72,78,Rasmus Nicolaisen,25,4000000.0,14000.0
1556,J. Vagnoman,RB RM LB ,71,79,VfB Stuttgart,2022 ~ 2026,278,281,367,305,288,195,1771,84,46,61,67,66,77,Josha Vagnoman,21,4000000.0,10000.0
1557,A. Hack,CB ,74,75,FSV Mainz 05,2015 ~ 2024,266,249,301,304,278,220,1650,66,38,60,53,75,76,Alexander Hack,28,4000000.0,23000.0
1558,S. Handanovič,GK ,83,83,Inter,2012 ~ 2023,86,113,244,248,123,48,1259,79,79,65,84,43,90,Samir Handanovič,37,4000000.0,42000.0
1559,Ł. Skorupski,GK ,76,76,Bologna,2018 ~ 2025,86,98,262,214,117,42,1184,78,73,59,81,51,74,Łukasz Skorupski,31,4000000.0,23000.0
1560,L. Cacace,LB LWB ,71,81,Empoli,2022 ~ 2025,302,329,365,367,336,199,1952,79,62,65,69,67,77,Liberato Cacace,21,4000000.0,5000.0
1561,A. Harroui,CDM CM RM ,73,77,Sassuolo,2022 ~ 2025,318,344,360,384,323,204,1973,74,68,70,75,67,75,Abdou Harroui,24,4000000.0,20000.0
1562,R. Battaglia,CM CDM ,74,74,Mallorca,2022 ~ 2024,307,322,309,369,360,220,1926,60,65,67,70,74,77,Rodrigo Battaglia,30,4000000.0,22000.0
1563,D. Brašanac,CM CDM CAM ,74,74,Osasuna,2019 ~ 2023,324,341,304,350,366,220,1952,53,70,71,71,72,71,Darko Brašanac,30,4000000.0,23000.0
1564,José Pozo,CAM ,73,76,Rayo Vallecano,2018 ~ 2024,341,352,376,324,305,184,1920,74,72,71,75,61,58,José Ángel Pozo la Rosa,26,4000000.0,16000.0
1565,Helton Leite,GK ,76,76,Benfica,2020 ~ 2025,69,71,266,244,75,31,1127,75,73,70,78,53,75,Helton Brant Aleixo Leite,31,4000000.0,10000.0
1566,S. Kritsyuk,GK ,76,76,Gil Vicente,2022 ~ 2024,99,89,242,236,121,43,1204,75,77,71,76,47,75,Stanislav Kritsyuk,31,4000000.0,9000.0
1567,Samu,CM ,73,76,Vizela,2019 ~ 2024,301,341,377,347,337,176,1928,73,69,70,77,58,63,Fábio Samuel Amorim Silva,26,4000000.0,6000.0
1568,A. Tuanzebe,CB ,73,77,Manchester United,2015 ~ 2023,264,288,366,295,310,219,1785,81,36,63,68,73,71,Axel Tuanzebe,24,3900000.0,55000.0
1569,L. Agoumé,CDM CM ,71,82,Troyes,"Jun 30, 2023",287,316,324,315,322,195,1816,64,54,68,72,67,69,Lucien Agoumé,20,3900000.0,22000.0
1570,B. Locko,LB LWB LM ,71,80,Reims,2020 ~ 2023,276,300,348,316,289,205,1786,75,51,61,68,68,67,Bradley Locko,20,3900000.0,10000.0
1571,K. Sildillia,RB CB RM ,71,82,SC Freiburg,2021 ~ 2026,245,255,336,275,266,215,1647,68,29,56,63,72,68,Kiliann Sildillia,20,3900000.0,11000.0
1572,J. Guilavogui,CDM CB ,75,75,VfL Wolfsburg,2016 ~ 2023,302,298,315,382,334,224,1916,68,59,64,65,76,80,Josuha Guilavogui,31,3900000.0,35000.0
1573,H. Smolčić,CB ,71,80,Eintracht Frankfurt,2022 ~ 2027,221,222,335,280,232,217,1552,68,28,46,58,72,73,Hrvoje Smolčić,21,3900000.0,11000.0
1574,B. Soppy,RWB RM ,71,82,Atalanta,2022 ~ 2026,291,289,371,339,306,199,1847,80,50,64,68,65,74,Brandon Soppy,20,3900000.0,17000.0
1575,T. Arslan,CDM CM ,75,75,Udinese,2020 ~ 2023,338,377,350,340,373,211,2028,67,73,74,76,71,67,Tolgay Arslan,31,3900000.0,15000.0
1576,J. Doig,LWB LM LB ,71,82,Hellas Verona,2022 ~ 2026,316,290,361,345,296,201,1859,80,58,63,67,66,75,Josh Doig,20,3900000.0,11000.0
1577,Jesús Vázquez,LB LWB LM ,71,82,Valencia,2020 ~ 2025,306,299,334,306,284,209,1798,69,50,66,66,68,63,Jesús Vázquez Alcalde,19,3900000.0,10000.0
1578,Escudero,LB LM ,75,75,Real Valladolid,2022 ~ 2024,323,350,347,349,348,228,2003,67,62,72,70,76,69,Sergio Escudero Palomo,32,3900000.0,20000.0
1579,D. Suárez,RWB RB ,77,77,Getafe,2015 ~ 2023,344,362,353,378,357,228,2078,69,69,72,73,75,75,Damián Suárez,34,3900000.0,26000.0
1580,Chumi,CB RB ,71,79,Almería,2020 ~ 2025,238,236,267,296,266,217,1575,52,36,51,56,71,70,Juan Brandáriz Movilla,23,3900000.0,13000.0
1581,Miguel Gutiérrez,LB LWB ,71,82,Girona,2022 ~ 2027,285,312,368,302,268,199,1782,76,50,66,72,65,62,Miguel Gutiérrez Ortega,20,3900000.0,11000.0
1582,Bruno Varela,GK ,74,76,Vitória SC,2020 ~ 2024,95,102,254,233,130,47,1218,74,70,63,78,39,72,Bruno Miguel Semedo Varela,27,3900000.0,8000.0
1583,Bernardo Vital,CB ,71,80,Estoril,2020 ~ 2025,206,196,309,290,244,224,1523,64,30,42,47,74,71,Bernardo Maria Cardoso Vital,21,3900000.0,4000.0
1584,Tiago Gouveia,RW LW ,70,84,Estoril,"Jun 30, 2023",276,289,389,300,257,92,1665,85,63,60,73,28,56,Tiago Maria Antunes Gouveia,21,3900000.0,6000.0
1585,Filipe Relvas,CB LB ,71,79,Portimonense,2020 ~ 2026,264,293,290,335,249,212,1693,63,40,58,58,71,76,Filipe Bem Relvas V. Oliveira,22,3900000.0,5000.0
1586,Riccieli,CB ,71,80,Famalicão,2019 ~ 2025,239,222,269,321,263,218,1584,53,33,49,56,71,77,Riccieli da Silva Júnior,23,3900000.0,5000.0
1587,D. Ward,GK ,75,75,Leicester City,2018 ~ 2025,80,113,257,220,120,46,1203,76,74,69,75,46,73,Danny Ward,29,3800000.0,49000.0
1588,K. Schade,RM ST ,70,83,Brentford,"Jun 30, 2023",323,259,412,320,250,57,1672,94,63,57,72,25,56,Kevin Schade,20,3800000.0,11000.0
1589,José Fonte,CB ,80,80,Lille,2018 ~ 2023,283,281,230,333,318,241,1736,31,46,62,62,82,80,José Miguel da Rocha Fonte,38,3800000.0,26000.0
1590,F. Maouassa,LB ,73,76,Montpellier,"Jun 30, 2023",314,356,386,370,315,210,1993,78,64,70,74,68,74,Faitout Maouassa,23,3800000.0,16000.0
1591,M. van Bergen,RW ST LW ,72,78,Reims,2021 ~ 2025,305,326,401,304,273,79,1744,86,66,65,73,27,56,Mitchell van Bergen,22,3800000.0,16000.0
1592,A. Flips,RM LM CAM ,71,78,Reims,2020 ~ 2024,320,339,353,323,280,132,1790,70,68,68,73,43,60,Alexis Flips,22,3800000.0,13000.0
1593,F. Chaïbi,LW RW ST ,70,83,Toulouse,2022 ~ 2025,325,319,343,324,336,200,1905,73,64,69,71,67,71,Farès Chaïbi,19,3800000.0,7000.0
1594,C. Brunner,RB CB ,74,74,Schalke 04,2022 ~ 2024,288,292,351,353,307,223,1864,69,57,65,67,74,71,Cédric Brunner,28,3800000.0,21000.0
1595,S. van den Berg,CB ,71,81,Schalke 04,"Jun 30, 2023",260,259,297,286,295,216,1666,60,34,62,64,72,72,Sepp van den Berg,20,3800000.0,34000.0
1596,M. Dárdai,CB ,71,82,Hertha BSC,2020 ~ 2025,257,275,327,288,270,216,1692,65,31,65,63,72,70,Márton Dárdai,20,3800000.0,12000.0
1597,D. da Costa,RWB ,74,74,FSV Mainz 05,2022 ~ 2025,309,317,348,368,328,217,1941,73,56,65,68,72,81,Danny da Costa,28,3800000.0,23000.0
1598,M. Soulé,RW ,70,85,Juventus,2021 ~ 2026,326,380,358,298,227,88,1740,76,63,70,78,29,43,Matías Soulé,19,3800000.0,28000.0
1599,E. Hysaj,LB RB ,74,74,Lazio,2021 ~ 2025,293,295,365,320,309,218,1852,75,51,65,72,71,70,Elseid Hysaj,28,3800000.0,35000.0
1600,A. Masina,LWB LM LB ,74,74,Udinese,2022 ~ 2025,283,311,317,317,287,220,1789,72,42,66,68,73,71,Adam Masina,28,3800000.0,15000.0
1601,T. Baldanzi,CAM CF ,70,84,Empoli,2021 ~ 2027,297,342,377,294,273,131,1764,75,65,67,74,40,48,Tommaso Baldanzi,19,3800000.0,4000.0
1602,L. Cabrera,CB LB ,75,75,Espanyol,2020 ~ 2026,263,249,291,361,298,228,1757,56,46,56,54,76,81,Leandro Cabrera,31,3800000.0,17000.0
1603,A. Ezzalzouli,LM RM LW ,70,82,Osasuna,"Jun 30, 2023",274,322,382,266,231,85,1599,80,62,62,77,27,48,Abdessamad Ezzalzouli,20,3800000.0,41000.0
1604,F. Angileri,LB LWB ,74,74,Getafe,2022 ~ 2026,352,364,371,384,354,212,2081,78,71,73,72,70,80,Fabrizio Angileri,28,3800000.0,22000.0
1605,J. Amavi,LB ,74,74,Getafe,"Jun 30, 2023",323,320,357,355,317,215,1945,73,61,67,70,71,72,Jordan Amavi,28,3800000.0,30000.0
1606,Andrey Santos,CM CDM ,70,84,Chelsea,2023 ~ 2028,296,305,352,311,313,201,1828,75,56,66,73,62,68,Andrey N. dos Santos,18,3700000.0,16000.0
1607,D. Iversen,GK ,73,78,Leicester City,2016 ~ 2025,109,107,248,245,131,45,1251,73,72,75,75,45,71,Daniel Iversen,24,3700000.0,33000.0
1608,L. Kurzawa,LB ,74,74,Fulham,"Jun 30, 2023",345,345,351,344,349,215,2004,71,65,72,76,72,68,Layvin Kurzawa,29,3700000.0,52000.0
1609,R. Fredericks,RB RWB ,74,74,AFC Bournemouth,2022 ~ 2024,297,308,403,299,328,211,1901,91,51,65,71,68,67,Ryan Fredericks,29,3700000.0,37000.0
1610,M. Tavernier,CAM CM RM ,72,78,AFC Bournemouth,2022 ~ 2027,310,334,384,326,302,176,1881,78,65,69,74,59,61,Marcus Tavernier,23,3700000.0,28000.0
1611,M. Haïdara,LWB CB ,74,74,Lens,2018 ~ 2023,285,311,365,363,309,216,1910,76,52,62,71,71,78,Massadio Haïdara,29,3700000.0,26000.0
1612,W. Faríñez,GK ,73,78,Lens,2021 ~ 2024,94,108,306,237,144,62,1308,73,70,66,75,52,73,Wuilker Faríñez,24,3700000.0,15000.0
1613,Q. Merlin,LB LWB LM ,70,84,Nantes,2020 ~ 2026,313,353,352,321,306,202,1900,70,59,69,75,64,58,Quentin Merlin,20,3700000.0,9000.0
1614,I. Ugbo,ST ,72,78,Troyes,2022 ~ 2026,340,256,356,334,296,70,1705,76,70,57,69,29,69,Iké Ugbo,23,3700000.0,13000.0
1615,M. Gonalons,CDM CM ,76,76,Clermont,2022 ~ 2024,324,329,277,338,360,226,1900,44,61,72,68,75,70,Maxime Gonalons,33,3700000.0,18000.0
1616,H. Wolf,CAM LM LB ,72,78,Borussia Mönchengladbach,2021 ~ 2024,320,353,372,347,297,102,1841,76,68,67,76,36,65,Hannes Wolf,23,3700000.0,17000.0
1617,A. Lunev,GK ,75,75,Bayer 04 Leverkusen,2021 ~ 2023,85,99,274,217,135,50,1222,75,72,63,77,56,75,Andrey Lunev,30,3700000.0,31000.0
1618,M. Mittelstädt,LB LM ,73,76,Hertha BSC,2015 ~ 2023,309,330,378,359,304,205,1941,77,61,67,73,70,67,Maximilian Mittelstädt,25,3700000.0,21000.0
1619,A. Barkok,CAM CF CM ,72,78,FSV Mainz 05,2022 ~ 2025,319,350,364,317,306,167,1876,76,66,68,78,55,65,Aymen Barkok,24,3700000.0,17000.0
1620,M. Sportiello,GK ,75,75,Atalanta,2012 ~ 2023,93,95,273,239,135,56,1257,74,74,68,75,44,75,Marco Sportiello,30,3700000.0,30000.0
1621,O. Solbakken,RW LW ,72,78,Roma,2023 ~ 2027,296,318,392,342,299,99,1798,86,67,65,72,37,69,Ola Solbakken,23,3700000.0,36000.0
1622,F. Depaoli,RB RM LM ,73,76,Hellas Verona,"Jun 30, 2023",310,334,362,261,326,212,1847,73,53,70,72,69,57,Fabio Depaoli,25,3700000.0,14000.0
1623,Gonzalo Villar,CM CDM ,72,78,Sampdoria,"Jun 30, 2023",293,357,333,307,327,202,1869,54,57,72,76,66,67,Gonzalo Villar del Fraile,24,3700000.0,32000.0
1624,K. Agudelo,CAM CM ,72,78,Spezia,2022 ~ 2026,297,317,386,313,309,150,1834,76,62,67,76,50,66,Kevin Agudelo,23,3700000.0,12000.0
1625,L. Zanimacchia,RM ,72,78,Cremonese,"Jun 30, 2023",323,347,318,318,276,90,1725,69,72,70,69,29,55,Luca Zanimacchia,23,3700000.0,49000.0
1626,Ruiz de Galarreta,CDM CM ,74,74,Mallorca,2019 ~ 2023,301,320,366,310,333,218,1898,67,59,70,73,69,69,Iñigo Ruiz de Galarreta,28,3700000.0,21000.0
1627,Pacheco,CB ,70,82,Real Sociedad,2021 ~ 2027,215,210,266,247,240,212,1453,52,22,51,48,70,64,Jon Pacheco Dozagarat,21,3700000.0,11000.0
1628,Juan Cruz,LB CB ,74,74,Osasuna,2020 ~ 2026,268,282,343,313,271,219,1753,73,40,62,63,72,72,Juan Cruz Álvaro Armada,29,3700000.0,22000.0
1629,Fernando,GK ,76,76,Almería,2017 ~ 2023,98,93,269,237,140,45,1255,76,74,71,77,48,75,Fernando Martínez Rubio,32,3700000.0,19000.0
1630,Ricardo Esgaio,RWB RB CB ,74,74,Sporting CP,2021 ~ 2026,331,347,367,345,356,210,2009,69,66,73,75,68,66,Ricardo Sousa Esgaio,29,3700000.0,12000.0
1631,A. Yakubu,ST ,72,78,Rio Ave,2021 ~ 2024,311,276,376,357,266,43,1688,85,71,54,68,21,69,Abdul-Aziz Yakubu,23,3700000.0,7000.0
1632,Adrián Marín,LB LWB ,73,76,Gil Vicente,2022 ~ 2024,297,315,343,319,298,213,1838,72,48,67,69,70,70,Adrián Marín Gómez,25,3700000.0,9000.0
1633,F. Moufi,RB ,73,76,Portimonense,2020 ~ 2023,246,281,356,343,319,209,1802,74,39,63,68,69,79,Fahd Moufi,26,3700000.0,7000.0
1634,Z. Youssouf,CM CDM RM ,72,78,Famalicão,2022 ~ 2026,292,359,341,340,335,193,1915,64,58,70,76,64,73,Zaydou Youssouf,22,3700000.0,7000.0
1635,N. Phillips,CB ,73,76,Liverpool,2017 ~ 2025,227,221,269,286,262,220,1528,52,30,49,51,74,75,Nathaniel Phillips,25,3600000.0,57000.0
1636,A. Maitland-Niles,RWB CM RB ,73,75,Southampton,"Jun 30, 2023",297,324,376,331,340,212,1934,78,61,68,72,69,67,Ainsley Maitland-Niles,24,3600000.0,42000.0
1637,J. Stephens,CB ,74,74,AFC Bournemouth,"Jun 30, 2023",262,317,275,306,291,225,1733,44,42,61,67,75,73,Jack Stephens,28,3600000.0,41000.0
1638,M. Sakho,CB ,75,75,Montpellier,2021 ~ 2024,247,255,251,322,298,223,1646,40,35,63,55,74,81,Mamadou Sakho,32,3600000.0,20000.0
1639,B. Brahimi,LM ST ,70,79,Nice,2022 ~ 2026,311,335,350,334,242,84,1700,77,63,65,73,29,64,Billal Brahimi,22,3600000.0,18000.0
1640,A. Aouchiche,LM CAM CM ,71,78,Lorient,2022 ~ 2026,305,355,348,327,293,169,1843,68,63,71,73,56,60,Adil Aouchiche,19,3600000.0,7000.0
1641,A. Palaversa,CM CDM ,70,79,Troyes,2022 ~ 2025,304,328,302,343,333,206,1869,58,66,68,69,66,72,Ante Palaversa,22,3600000.0,9000.0
1642,R. Del Castillo,RM LM RW ,73,74,Brest,2021 ~ 2024,338,363,384,341,310,116,1903,74,67,71,77,39,64,Romain Del Castillo,26,3600000.0,19000.0
1643,S. Spierings,CDM CM ,73,76,Toulouse,2020 ~ 2023,276,352,321,351,337,212,1913,58,66,66,70,69,73,Stijn Spierings,26,3600000.0,15000.0
1644,Jeong Woo Yeong,CAM CF ,72,77,SC Freiburg,2019 ~ 2025,327,299,399,311,278,102,1757,80,63,66,77,36,63,Woo Yeong Jeong,22,3600000.0,17000.0
1645,I. Gruev,CDM CM ,71,78,Werder Bremen,2019 ~ 2025,279,291,316,298,295,207,1733,63,48,66,67,68,65,Ilia Gruev,22,3600000.0,12000.0
1646,M. Plattenhardt,LB ,74,74,Hertha BSC,2014 ~ 2023,313,380,343,352,319,219,1991,66,56,73,71,71,71,Marvin Plattenhardt,30,3600000.0,24000.0
1647,F. Dahmen,GK ,71,79,FSV Mainz 05,2018 ~ 2023,79,117,265,220,88,42,1171,73,67,78,74,45,68,Finn Dahmen,24,3600000.0,10000.0
1648,B. Franjić,CDM CB LB ,71,78,VfL Wolfsburg,2022 ~ 2027,270,301,342,348,327,198,1839,78,50,62,65,69,77,Bartol Franjić,22,3600000.0,20000.0
1649,Eduardo Quaresma,CB ,70,82,TSG Hoffenheim,"Jun 30, 2023",222,231,278,277,252,210,1516,58,31,47,56,70,70,Eduardo Filipe Quaresma,20,3600000.0,5000.0
1650,A. Hahn,ST RM ,74,74,FC Augsburg,2018 ~ 2023,368,313,335,407,333,164,1987,69,74,68,70,55,83,André Hahn,31,3600000.0,26000.0
1651,F. Niederlechner,ST ,74,74,FC Augsburg,2019 ~ 2023,347,309,345,374,327,90,1852,68,75,63,73,35,78,Florian Niederlechner,31,3600000.0,26000.0
1652,L. Ferguson,CM CDM ,70,78,Bologna,2022 ~ 2026,318,341,361,389,371,201,2032,72,68,69,70,67,83,Lewis Ferguson,22,3600000.0,15000.0
1653,Y. Kallon,CF RM RW ,70,81,Hellas Verona,"Jun 30, 2023",316,312,391,325,258,57,1704,85,67,61,74,22,60,Yayah Kallon,21,3600000.0,3000.0
1654,R. Oudin,LM RM ,73,74,Lecce,"Jun 30, 2023",354,360,361,373,281,87,1867,74,71,72,72,34,67,Rémi Oudin,25,3600000.0,8000.0
1655,F. Caputo,ST ,76,76,Empoli,"Jun 30, 2023",354,321,393,361,288,75,1845,76,77,62,76,30,64,Francesco Caputo,34,3600000.0,22000.0
1656,M. Destro,ST ,74,74,Empoli,2022 ~ 2023,358,310,344,341,287,70,1765,69,75,60,72,29,61,Mattia Destro,31,3600000.0,12000.0
1657,S. Luperto,CB ,73,76,Empoli,"Jun 30, 2023",297,271,302,342,290,225,1774,58,55,60,59,75,68,Sebastiano Luperto,25,3600000.0,31000.0
1658,B. Nuytinck,CB ,75,75,Sampdoria,2023 ~ 2025,244,260,306,291,285,234,1664,63,40,53,58,78,70,Bram Nuytinck,32,3600000.0,17000.0
1659,I. Pussetto,ST ,73,74,Sampdoria,"Jun 30, 2023",342,303,367,338,248,68,1718,76,72,63,76,25,59,Ignacio Pussetto,26,3600000.0,37000.0
1660,D. Valencia,ST RW ,70,78,Salernitana,2022 ~ 2026,318,274,350,350,261,62,1663,73,67,59,71,26,70,Diego Valencia,22,3600000.0,14000.0
1661,M. Caldara,CB ,74,74,Spezia,"Jun 30, 2023",260,227,299,284,245,230,1588,58,34,46,63,76,74,Mattia Caldara,28,3600000.0,44000.0
1662,D. Okereke,ST RW LW ,72,77,Cremonese,2022 ~ 2025,308,253,397,359,265,63,1695,87,68,54,75,26,67,David Okereke,24,3600000.0,10000.0
1663,Pablo Torre,CAM CM LM ,69,86,FC Barcelona,2022 ~ 2026,286,355,369,298,275,133,1775,74,59,71,69,42,54,Pablo Torre Carral,19,3600000.0,27000.0
